"Row.names","logFC","logCPM","LR","PValue","FDR","A","A-tissue","B","B-tissue"
"STAT5B",6.15041992465717,4.49892235514752,5.09318320736727,0.0240200627524684,0.25350519241594,0.653032022720904,5359.362196934,9.74065980552212,1234.90285741965
"TBC1D32",9.99936350830543,2.88734708866227,5.0454915147885,0.0246901018321439,0.25350519241594,0,897.788968638586,5.36728002324365,200.471243087606
"TMEM203",5.84047730779714,4.87981918924134,5.10156222666402,0.0239043049912974,0.25350519241594,1.95909606816271,3257.22217280463,6.29063004158504,601.413729262818
"VPS13B",-6.11943593088388,4.41691441011845,5.11183941669827,0.0237631133549938,0.25350519241594,20.2830108893349,4800.98125302463,0.127792381505801,1119.96601138276
"ZNF717",-10.8499074716843,3.30247648193486,5.09115039945427,0.0240482339399644,0.25350519241594,0.41775336725405,624.072819663407,0,101.57209649772
"KIAA1143",-6.11749152361043,5.08033864704003,5.03945237800743,0.024776321146669,0.253668286746287,196.588748424445,2041.92247135483,0.383377144517403,310.062189308831
"PVRL1",-9.80910749150349,4.42511460530242,5.04016367932494,0.0247661498510456,0.253668286746287,29.7129570338011,8693.22489145167,0,1683.95844193589
"KITLG",-9.86743195497684,4.33993932159796,5.03471858071178,0.0248441229120511,0.253722558393639,31.0190210792429,8720.59650634919,0,1352.51265336438
"UTP11L",9.89456434498741,3.21511790529719,5.03686599200186,0.0248133418908227,0.253722558393639,0,2069.29408625235,4.98390287872624,419.653135530055
"CCSER2",9.74194723956137,3.77920420919386,5.02873479056649,0.0249301039289195,0.254280796229771,0,4050.99900483264,4.47273335270304,1055.81521359473
"CCNG1",3.85696607601388,8.63618580674228,5.0178160150291,0.02508779275979,0.255248473269584,83.1046329978085,19992.227521147,84.2402749878228,3140.71614170583
"SHANK2",-10.6525575253383,3.55553498362206,5.01781183059288,0.0250878533894726,0.255248473269584,0.365534196347294,1910.53871984675,0,414.307235714386
