sample_id,6122_A5,6129_SE1,6168_B4,6122_P1_SE,6129_A5,6186_B4
SECTM1,152,2223,2921,1352,116,759
ABLIM3,151,6,0,9,3,1
MFF,151,1128,1556,507,5,147
TMEM167A,151,3101,13,1242,32,123
EI24,150,2395,46,765,48,93
GMEB1,150,399,1,215,0,0
LRRK1,150,1283,0,678,1,1
NF1,150,2282,288,1127,42,688
PDK4,150,1368,43,534,1,198
SLAIN2,150,1832,1195,896,15,155
GOLPH3,148,3371,1193,1375,120,1116
MTND2P19,148,0,0,0,0,0
RRBP1,148,11457,1965,6942,29,121
FABP6,146,0,901,0,36,791
MAN1A1,146,2952,394,1231,17,162
FAM60DP,144,0,51,0,28,55
SENP7,144,387,240,189,166,218
TMEM263,144,959,2,462,19,20
ATP10B,143,9139,2,3857,24,65
C10orf99,143,3685,2244,1720,34,175
RBM15B,143,1370,10,561,5,78
MCL1,142,7515,3464,6273,49,612
NT5C3A,142,1152,1251,746,49,510
CES2,141,17183,1773,7803,57,134
GOLGA3,141,2689,279,1881,0,0
HNRNPA1,141,2215,4767,1062,182,636
IFNGR1,141,2783,1019,1697,55,318
EHD1,140,1417,9,1062,14,26
RP11-39K24.12,140,0,0,0,0,30
CTCF,139,1855,0,734,146,155
SNRNP40,139,628,31,210,5,56
SERPINA1,138,5711,843,2067,45,181
PLS1,137,16329,6570,6780,146,1082
RP11-10C24.2,137,18,0,22,0,0
AC007969.5,136,15,517,6,4,47
2-Mar,136,630,0,223,1,0
RAB5A,136,1421,606,733,60,108
GNAI2,134,1043,87,508,4,70
ID2,134,2221,74,1201,8,114
LAP3,134,1709,1,550,5,52
PCBP1-AS1,134,446,577,403,11,127
P4HA1,133,883,573,276,20,194
PPP2CB,133,2743,296,1542,48,301
RAP1B,133,688,441,472,13,203
RP11-380M21.2,133,4,135,4,49,189
CTSL,132,556,5,186,0,0
RAB27A,132,3161,1856,1401,77,276
TADA3,132,1423,15,696,5,7
CLDN7,131,8807,440,6459,22,1093
PKIB,131,3309,2953,1771,77,649
ZC3H12C,131,639,3,417,1,40
CD177,130,22216,681,7007,211,1173
MRPL51,130,891,30,375,23,41
NDFIP2,130,3605,3554,1667,52,825
COX5A,129,3747,370,1701,48,419
RBM4B,129,952,3054,437,8,69
ATP5B,128,30611,246,10795,25,545
DDX17,128,11403,2406,8132,48,443
FGFBP1,128,431,0,298,24,273
PRPF39,128,836,17,491,7,21
SLC35D1,128,5678,1105,2827,17,320
H2AFY,127,4163,5919,2317,557,1271
PHLDA2,127,127,9,230,1,28
S100A11,127,1402,57,766,27,243
TXNDC9,127,560,6,239,25,127
CNNM4,126,5324,1904,2759,16,104
LAMTOR1,124,1398,430,641,9,33
NFAT5,124,1137,0,907,1,0
EEF2,123,33233,5007,11784,209,703
MGAT4B,123,8340,1255,4070,44,248
CAP1,122,8828,663,4538,139,475
CYP20A1,122,485,1,222,7,0
HMGB1,122,1769,553,673,131,111
BCLAF1,121,2673,50,1157,2,173
RAB5C,121,1091,80,512,32,34
ARHGAP5,120,2804,1078,1485,58,151
RPRD2,120,1327,1780,520,38,107
ABCA8,119,8,246,4,27,107
LGR4,119,6697,715,3126,13,147
NFE2L2,118,3320,4,1481,4,284
PRRC2C,118,4806,14,2395,22,73
RNF144A,118,920,1280,407,20,0
HNRNPH3,117,3457,148,1717,16,37
MED28,116,1186,37,443,45,18
MTND6P3,116,8,349,4,383,440
NIPBL,116,2490,12,1157,0,2
PLA2G10,116,233,114,177,27,161
RAPGEF2,116,1513,2320,1247,17,159
CLIC1,115,6263,26,3320,19,30
EBLN3,115,1759,147,882,8,3
RASSF3,115,2538,2030,1180,29,1230
S100A8,115,2,7,14,310,44
GAS5,114,1383,760,516,50,339
B3GALT5,113,11995,640,8111,162,166
EHD4,113,1899,5,1221,9,104
