sample_id,6122_A5,6129_SE1,6168_B4,6122_P1_SE,6129_A5,6186_B4
RNU1-43P,0,0,0,0,0,0
RNU1-44P,0,0,0,0,0,0
RNU1-45P,0,0,0,0,0,0
RNU1-46P,0,0,0,0,0,0
RNU1-47P,0,0,0,0,0,0
RNU1-48P,0,0,0,0,0,0
RNU1-49P,0,0,0,0,0,0
RNU1-51P,0,0,0,0,0,0
RNU1-52P,0,0,0,0,0,0
RNU1-54P,0,0,0,0,0,0
RNU1-55P,0,0,0,0,0,0
RNU1-56P,0,0,0,0,0,0
RNU1-57P,0,0,0,0,0,0
RNU1-58P,0,0,0,1,0,0
RNU1-59P,0,0,0,0,0,0
RNU1-61P,0,0,0,2,0,0
RNU1-62P,0,0,0,0,0,0
RNU1-63P,0,0,0,0,0,0
RNU1-64P,0,0,0,0,0,0
RNU1-65P,0,0,0,0,0,0
RNU1-67P,0,0,0,0,0,0
RNU1-69P,0,0,0,0,0,0
RNU1-70P,0,0,0,0,0,0
RNU1-72P,0,0,0,0,0,0
RNU1-73P,0,0,0,1,0,0
RNU1-74P,0,0,0,0,0,0
RNU1-75P,0,0,0,0,0,0
RNU1-76P,0,0,0,0,0,0
RNU1-77P,0,0,0,0,0,0
RNU1-78P,0,0,0,0,0,0
RNU1-79P,0,0,0,0,0,0
RNU1-7P,0,0,0,0,0,0
RNU1-80P,0,0,0,0,0,0
RNU1-82P,0,0,0,0,0,0
RNU1-83P,0,0,0,0,0,0
RNU1-84P,0,0,0,0,0,0
RNU1-85P,0,0,0,0,0,0
RNU1-86P,0,0,0,0,0,0
RNU1-87P,0,0,0,0,0,0
RNU1-88P,0,0,0,0,0,0
RNU1-89P,0,0,0,0,0,0
RNU1-8P,0,0,0,0,0,0
RNU1-91P,0,0,0,0,0,0
RNU1-92P,0,0,0,0,0,0
RNU1-93P,0,0,0,0,0,0
RNU1-94P,0,0,0,0,0,0
RNU1-95P,0,0,0,0,0,0
RNU1-96P,0,0,0,0,0,0
RNU1-97P,0,0,0,0,0,0
RNU1-98P,0,0,0,0,0,0
RNU105B,0,0,0,0,0,0
RNU105C,0,0,0,0,0,0
RNU11,0,0,0,0,0,0
RNU11-2P,0,0,0,0,0,0
RNU11-3P,0,0,0,0,0,0
RNU11-4P,0,0,0,0,0,0
RNU11-5P,0,0,0,0,0,0
RNU11-6P,0,0,0,0,0,0
RNU12,0,0,0,4,0,0
RNU12-2P,0,0,0,1,0,0
RNU2-1,0,0,0,0,0,0
RNU2-10P,0,0,0,0,0,0
RNU2-11P,0,0,2,0,0,0
RNU2-12P,0,0,0,0,0,0
RNU2-13P,0,0,0,0,0,0
RNU2-14P,0,0,0,0,0,0
RNU2-15P,0,0,0,0,0,0
RNU2-16P,0,0,0,0,0,1
RNU2-17P,0,0,0,0,0,0
RNU2-18P,0,0,0,0,0,0
RNU2-19P,0,0,0,0,0,0
RNU2-20P,0,0,0,0,0,0
RNU2-21P,0,0,0,0,0,0
RNU2-22P,0,0,0,0,0,0
RNU2-23P,0,0,8,0,0,2
RNU2-24P,0,0,0,0,0,0
RNU2-25P,0,0,0,0,0,0
RNU2-26P,0,0,0,0,0,0
RNU2-27P,0,4,0,1,0,0
RNU2-28P,0,0,0,0,0,0
RNU2-29P,0,0,0,0,0,0
RNU2-2P,0,0,0,0,0,0
RNU2-30P,0,0,0,0,0,0
RNU2-31P,0,0,0,0,0,0
RNU2-32P,0,0,0,0,0,0
RNU2-33P,0,1,0,0,0,0
RNU2-34P,0,0,0,0,0,0
RNU2-35P,0,0,0,0,0,0
RNU2-36P,0,0,0,0,0,0
RNU2-37P,0,0,0,0,0,0
RNU2-38P,0,0,0,0,0,0
RNU2-39P,0,0,0,0,0,0
RNU2-3P,0,0,0,0,0,1
RNU2-40P,0,0,0,0,0,0
RNU2-41P,0,0,0,0,0,0
RNU2-42P,0,0,0,0,0,0
RNU2-43P,0,0,0,0,0,0
RNU2-44P,0,0,0,0,0,0
RNU2-45P,0,0,0,0,0,0
RNU2-46P,0,0,0,0,0,0
RNU2-47P,0,0,0,0,0,0
RNU2-48P,0,0,0,0,0,0
RNU2-49P,0,0,0,0,0,0
RNU2-50P,0,0,0,0,0,0
RNU2-51P,0,0,0,0,0,0
RNU2-52P,0,0,0,0,0,0
RNU2-53P,0,0,0,0,0,0
RNU2-54P,0,0,0,0,0,0
RNU2-55P,0,0,0,0,0,0
RNU2-56P,0,0,0,0,0,0
RNU2-57P,0,0,0,0,0,0
RNU2-58P,0,0,0,0,0,0
RNU2-59P,0,0,0,0,0,0
RNU2-5P,0,1,0,0,0,0
RNU2-60P,0,0,0,0,0,0
RNU2-61P,0,0,0,0,0,0
RNU2-62P,0,0,0,0,0,0
RNU2-63P,0,0,0,0,0,0
RNU2-64P,0,0,0,0,0,0
RNU2-65P,0,0,0,0,0,0
RNU2-66P,0,0,0,0,0,0
RNU2-67P,0,0,0,0,0,0
RNU2-68P,0,0,0,0,0,0
RNU2-69P,0,0,0,0,0,0
RNU2-6P,0,0,0,1,0,0
RNU2-70P,0,0,0,0,0,1
RNU2-71P,0,0,0,0,0,0
RNU2-72P,0,0,0,0,0,0
RNU2-7P,0,0,0,0,0,0
RNU2-8P,0,0,0,0,0,0
RNU2-9P,0,0,0,0,0,0
RNU4-1,0,1,0,0,0,0
RNU4-10P,0,0,0,0,0,0
RNU4-11P,0,0,0,0,0,0
RNU4-12P,0,0,0,0,0,0
RNU4-13P,0,0,0,0,0,0
RNU4-14P,0,0,0,0,0,0
RNU4-15P,0,0,0,0,0,0
RNU4-16P,0,0,0,0,0,0
RNU4-17P,0,0,0,0,0,0
RNU4-18P,0,0,0,0,0,0
RNU4-19P,0,0,0,0,0,0
RNU4-2,0,1,0,1,0,40
RNU4-20P,0,0,0,0,0,0
RNU4-22P,0,0,0,0,0,0
RNU4-23P,0,0,0,0,0,0
RNU4-24P,0,0,0,0,0,0
RNU4-25P,0,0,0,0,0,0
RNU4-26P,0,0,0,0,0,0
RNU4-27P,0,0,0,0,0,0
RNU4-28P,0,0,0,0,0,0
RNU4-29P,0,0,0,0,0,0
RNU4-30P,0,0,0,0,0,0
RNU4-31P,0,0,0,1,0,0
RNU4-32P,0,0,0,0,0,0
RNU4-33P,0,0,0,0,0,0
RNU4-34P,0,0,0,0,0,0
RNU4-35P,0,0,0,0,0,0
RNU4-36P,0,0,0,0,0,0
RNU4-37P,0,0,0,0,0,0
RNU4-38P,0,1,0,0,0,0
RNU4-39P,0,1,0,0,0,0
RNU4-40P,0,0,0,0,0,0
RNU4-41P,0,0,0,0,0,0
RNU4-42P,0,0,0,0,0,0
RNU4-43P,0,0,0,0,0,0
RNU4-44P,0,0,0,0,0,0
RNU4-45P,0,0,0,0,0,0
RNU4-46P,0,0,0,0,0,0
RNU4-47P,0,0,0,0,0,0
RNU4-48P,0,0,0,0,0,0
RNU4-49P,0,0,0,0,0,0
RNU4-4P,0,0,0,0,0,0
RNU4-50P,0,0,0,0,0,0
RNU4-51P,0,0,0,0,0,0
RNU4-52P,0,0,0,0,0,0
RNU4-53P,0,0,0,1,0,0
RNU4-54P,0,0,0,0,0,0
RNU4-55P,0,0,0,0,0,0
RNU4-56P,0,0,0,0,0,0
RNU4-57P,0,0,0,0,0,0
RNU4-58P,0,0,0,0,0,0
RNU4-59P,0,0,0,0,0,0
RNU4-60P,0,0,0,0,0,0
RNU4-61P,0,0,0,0,0,0
RNU4-62P,0,0,1,0,0,0
RNU4-63P,0,0,0,0,0,0
RNU4-64P,0,0,0,0,0,0
RNU4-65P,0,0,0,0,0,0
RNU4-66P,0,0,0,0,0,0
RNU4-67P,0,0,0,0,0,0
RNU4-68P,0,0,0,0,0,0
RNU4-69P,0,0,0,0,0,0
RNU4-6P,0,0,0,0,0,0
RNU4-70P,0,0,0,0,0,0
RNU4-71P,0,0,0,0,0,0
RNU4-72P,0,0,0,1,0,0
RNU4-73P,0,0,0,1,0,0
RNU4-74P,0,0,0,0,0,0
RNU4-75P,0,0,0,0,0,0
RNU4-76P,0,0,0,0,0,0
RNU4-77P,0,0,0,0,0,0
RNU4-78P,0,0,0,1,0,0
RNU4-79P,0,0,0,0,0,0
RNU4-7P,0,0,0,0,0,0
RNU4-80P,0,0,0,1,0,0
RNU4-81P,0,0,0,0,0,0
RNU4-82P,0,1,0,1,0,0
RNU4-83P,0,0,0,0,0,0
RNU4-84P,0,0,0,0,0,0
RNU4-85P,0,0,0,0,0,0
RNU4-86P,0,0,0,0,0,0
RNU4-87P,0,0,0,0,0,0
RNU4-88P,0,0,0,0,0,0
RNU4-8P,0,2,0,1,0,0
RNU4-90P,0,0,0,0,0,0
RNU4-91P,0,0,0,0,0,0
RNU4-92P,0,0,0,0,0,0
RNU4-9P,0,0,0,0,0,0
RNU4ATAC,0,0,0,0,0,0
RNU4ATAC10P,0,0,0,0,0,0
RNU4ATAC11P,0,0,0,0,0,0
RNU4ATAC12P,0,0,0,0,0,0
RNU4ATAC13P,0,0,0,0,0,0
RNU4ATAC14P,0,0,0,0,0,0
RNU4ATAC15P,0,0,0,0,0,0
RNU4ATAC16P,0,0,0,0,0,0
RNU4ATAC17P,0,0,0,0,0,0
RNU4ATAC18P,0,0,0,1,0,0
RNU4ATAC2P,0,0,0,0,0,0
RNU4ATAC3P,0,0,0,0,0,0
RNU4ATAC4P,0,0,0,0,0,0
RNU4ATAC5P,0,0,0,0,0,0
RNU4ATAC6P,0,0,0,0,0,0
RNU4ATAC7P,0,0,0,0,0,0
RNU4ATAC8P,0,0,0,0,0,0
RNU4ATAC9P,0,0,0,0,0,0
RNU5A-1,0,0,0,0,0,0
RNU5A-2P,0,0,0,0,0,0
RNU5A-4P,0,0,0,0,0,0
RNU5A-5P,0,0,0,0,0,0
RNU5A-6P,0,0,0,0,0,0
RNU5A-7P,0,0,0,0,0,0
RNU5A-8P,0,0,0,0,0,0
RNU5B-1,0,0,0,0,0,0
RNU5B-2P,0,0,0,0,0,0
RNU5B-3P,0,0,0,0,0,0
RNU5B-4P,0,0,0,0,0,0
RNU5B-6P,0,0,0,0,0,0
RNU5D-1,0,0,0,0,0,0
RNU5D-2P,0,0,0,0,0,0
RNU5E-1,0,0,0,1,0,0
RNU5E-10P,0,0,0,0,0,0
RNU5E-3P,0,0,0,0,0,0
RNU5E-4P,0,0,0,0,0,0
RNU5E-5P,0,0,0,0,0,0
RNU5E-6P,0,0,0,0,0,0
RNU5E-7P,0,0,0,0,0,0
RNU5E-8P,0,0,0,0,0,0
RNU5E-9P,0,0,0,0,0,0
RNU5F-1,0,0,0,0,0,0
RNU5F-2P,0,0,0,0,0,0
RNU5F-3P,0,0,0,0,0,0
RNU5F-4P,0,0,0,0,0,0
RNU5F-6P,0,0,0,0,0,0
RNU5F-7P,0,0,0,0,0,0
RNU5F-8P,0,0,0,0,0,0
RNU6-1,0,0,0,0,0,0
RNU6-1000P,0,0,0,0,0,0
RNU6-1001P,0,0,0,0,0,0
RNU6-1002P,0,0,0,0,0,0
RNU6-1003P,0,0,0,0,0,0
RNU6-1004P,0,0,0,0,0,0
RNU6-1005P,0,0,0,0,0,0
RNU6-1006P,0,0,0,0,0,0
RNU6-1007P,0,0,0,0,0,0
RNU6-1008P,0,0,0,0,0,0
RNU6-1009P,0,0,0,0,0,0
RNU6-100P,0,1,0,1,0,0
RNU6-1010P,0,0,0,0,0,0
RNU6-1011P,0,1,0,0,0,0
RNU6-1012P,0,0,0,0,0,0
RNU6-1013P,0,0,0,0,0,0
RNU6-1014P,0,0,0,0,0,0
RNU6-1015P,0,0,0,0,0,0
RNU6-1016P,0,0,0,0,0,0
RNU6-1017P,0,0,0,0,0,0
RNU6-1018P,0,0,0,0,0,0
RNU6-1019P,0,0,0,0,0,0
RNU6-101P,0,0,0,0,0,0
RNU6-1020P,0,0,0,0,0,0
RNU6-1021P,0,0,0,0,0,0
RNU6-1022P,0,0,0,0,0,0
RNU6-1023P,0,0,0,0,0,0
RNU6-1024P,0,0,0,1,0,0
RNU6-1025P,0,0,0,0,0,0
RNU6-1026P,0,0,0,0,0,0
RNU6-1027P,0,0,0,0,0,0
RNU6-1028P,0,0,0,0,0,0
RNU6-1029P,0,0,0,0,0,0
RNU6-102P,0,0,0,0,0,0
RNU6-1030P,0,0,0,0,0,0
RNU6-1031P,0,0,0,0,0,0
RNU6-1032P,0,0,0,0,0,0
RNU6-1033P,0,0,0,0,0,0
RNU6-1034P,0,0,0,0,0,0
RNU6-1035P,0,2,0,0,0,0
RNU6-1036P,0,0,0,0,0,0
RNU6-1037P,0,0,0,0,0,0
RNU6-1038P,0,0,0,0,0,0
RNU6-1039P,0,0,0,0,0,0
RNU6-103P,0,0,0,0,0,0
RNU6-1040P,0,0,0,0,0,0
RNU6-1041P,0,0,0,0,0,0
RNU6-1042P,0,0,0,0,0,0
RNU6-1043P,0,1,0,0,0,0
RNU6-1044P,0,0,0,0,0,0
RNU6-1045P,0,0,0,0,0,0
RNU6-1046P,0,0,0,0,0,0
RNU6-1047P,0,0,0,0,0,0
RNU6-1048P,0,0,0,1,0,0
RNU6-1049P,0,0,0,0,0,0
RNU6-104P,0,0,0,0,0,0
RNU6-1050P,0,0,0,0,0,0
RNU6-1051P,0,0,0,0,0,0
RNU6-1052P,0,0,0,0,0,0
RNU6-1053P,0,1,0,2,0,0
RNU6-1054P,0,0,0,0,0,0
RNU6-1055P,0,0,0,0,0,0
RNU6-1056P,0,0,0,0,0,0
RNU6-1057P,0,0,0,0,0,0
RNU6-1058P,0,0,0,0,0,0
RNU6-1059P,0,0,0,0,0,0
RNU6-105P,0,0,0,0,0,0
RNU6-1060P,0,0,0,0,0,0
RNU6-1061P,0,0,0,0,0,0
RNU6-1062P,0,0,0,0,0,0
RNU6-1063P,0,0,0,0,0,0
RNU6-1065P,0,1,0,5,0,0
RNU6-1066P,0,0,0,0,0,0
RNU6-1067P,0,0,0,0,0,0
RNU6-1068P,0,0,0,0,0,0
RNU6-1069P,0,0,0,0,0,0
RNU6-106P,0,0,0,0,0,0
RNU6-1071P,0,0,0,0,0,0
RNU6-1072P,0,0,0,0,0,0
RNU6-1073P,0,0,0,0,0,0
RNU6-1074P,0,0,0,0,0,0
RNU6-1075P,0,0,0,0,0,0
RNU6-1076P,0,0,0,0,0,0
RNU6-1077P,0,0,0,0,0,1
RNU6-1078P,0,0,0,0,0,0
RNU6-1079P,0,1,0,0,0,0
RNU6-107P,0,0,0,0,0,0
RNU6-1080P,0,0,0,0,0,0
RNU6-1081P,0,0,0,0,0,0
RNU6-1082P,0,0,0,1,0,0
RNU6-1083P,0,0,0,0,0,0
RNU6-1084P,0,0,0,0,0,0
RNU6-1085P,0,0,0,0,0,0
RNU6-1086P,0,0,0,0,0,0
RNU6-1087P,0,0,0,0,0,0
RNU6-1088P,0,0,0,0,0,0
RNU6-1089P,0,0,0,0,0,0
RNU6-108P,0,0,0,0,0,0
RNU6-1090P,0,0,0,0,0,0
RNU6-1091P,0,0,0,0,0,0
RNU6-1092P,0,0,0,0,0,0
RNU6-1093P,0,0,0,0,0,0
RNU6-1094P,0,0,0,0,0,0
RNU6-1095P,0,0,0,0,0,0
RNU6-1096P,0,0,0,0,0,0
RNU6-1097P,0,0,0,0,0,0
RNU6-1098P,0,0,0,0,0,0
RNU6-1099P,0,0,0,0,0,0
RNU6-109P,0,0,0,0,0,0
RNU6-10P,0,0,2,0,0,2
RNU6-1100P,0,0,0,0,0,0
RNU6-1101P,0,0,0,0,0,0
RNU6-1102P,0,0,0,0,0,0
RNU6-1103P,0,0,0,0,0,0
RNU6-1104P,0,0,0,0,0,0
RNU6-1105P,0,0,0,0,0,0
RNU6-1106P,0,0,0,0,0,0
RNU6-1107P,0,0,0,0,0,0
RNU6-1108P,0,0,0,0,0,0
RNU6-1109P,0,0,0,0,0,0
RNU6-110P,0,0,0,0,0,0
RNU6-1110P,0,0,0,0,0,0
RNU6-1111P,0,0,0,0,0,0
RNU6-1112P,0,0,0,0,0,0
RNU6-1113P,0,0,0,0,0,0
RNU6-1114P,0,0,0,0,0,0
RNU6-1115P,0,0,0,0,0,0
RNU6-1116P,0,0,0,0,0,0
RNU6-1117P,0,0,0,0,0,0
RNU6-1118P,0,0,0,0,0,0
RNU6-1119P,0,0,0,0,0,0
RNU6-111P,0,0,0,0,0,0
RNU6-1120P,0,0,0,0,0,0
RNU6-1121P,0,0,0,0,0,0
RNU6-1122P,0,0,0,0,0,0
RNU6-1123P,0,0,0,0,0,0
RNU6-1124P,0,0,0,0,0,0
RNU6-1125P,0,0,0,0,0,0
RNU6-1126P,0,0,0,0,0,0
RNU6-1127P,0,0,0,0,0,0
RNU6-1128P,0,0,0,0,0,0
RNU6-1129P,0,0,0,0,0,0
RNU6-112P,0,0,0,0,0,0
RNU6-1130P,0,0,0,0,0,0
RNU6-1131P,0,0,0,0,0,0
RNU6-1132P,0,0,0,0,0,0
RNU6-1133P,0,0,0,0,0,1
RNU6-1134P,0,0,0,0,0,0
RNU6-1135P,0,0,0,0,0,0
RNU6-1136P,0,0,0,0,0,0
RNU6-1137P,0,0,0,0,0,0
RNU6-1138P,0,0,0,0,0,0
RNU6-1139P,0,0,0,0,0,0
RNU6-113P,0,0,0,0,0,0
RNU6-1140P,0,0,0,0,0,0
RNU6-1141P,0,0,0,0,0,0
RNU6-1142P,0,0,0,0,0,0
RNU6-1143P,0,0,0,0,0,0
RNU6-1144P,0,0,0,0,0,0
RNU6-1145P,0,0,0,0,0,0
RNU6-1146P,0,0,0,0,0,0
RNU6-1147P,0,0,0,0,0,0
RNU6-1148P,0,0,0,0,0,0
RNU6-1149P,0,0,0,0,0,0
RNU6-114P,0,0,0,0,0,0
RNU6-1150P,0,0,0,0,0,0
RNU6-1151P,0,0,0,0,0,0
RNU6-1152P,0,0,0,0,0,0
RNU6-1153P,0,0,0,0,0,0
RNU6-1154P,0,0,0,0,0,0
RNU6-1155P,0,0,0,0,0,0
RNU6-1156P,0,0,0,0,0,0
RNU6-1157P,0,0,0,0,0,0
RNU6-1158P,0,0,0,0,0,0
RNU6-1159P,0,0,0,0,0,0
RNU6-115P,0,0,0,0,0,0
RNU6-1160P,0,0,0,1,0,0
RNU6-1161P,0,1,0,0,0,0
RNU6-1162P,0,0,0,0,0,0
RNU6-1163P,0,0,0,0,0,0
RNU6-1164P,0,0,0,1,0,0
RNU6-1165P,0,1,0,0,0,0
RNU6-1166P,0,0,0,0,0,0
RNU6-1167P,0,0,0,0,0,0
RNU6-1168P,0,0,0,0,0,0
RNU6-1169P,0,0,0,0,0,0
RNU6-116P,0,0,0,0,0,0
RNU6-1170P,0,0,0,0,0,0
RNU6-1171P,0,0,0,0,0,0
RNU6-1172P,0,0,0,0,0,0
RNU6-1173P,0,0,0,0,0,0
RNU6-1174P,0,0,0,0,0,0
RNU6-1175P,0,0,0,0,0,0
RNU6-1176P,0,0,0,0,0,0
RNU6-1177P,0,0,0,0,0,0
RNU6-1178P,0,0,0,0,0,0
RNU6-1179P,0,0,0,0,0,0
RNU6-117P,0,0,0,0,0,0
RNU6-1180P,0,0,0,0,0,0
RNU6-1181P,0,0,0,0,0,0
RNU6-1182P,0,0,0,0,0,0
RNU6-1183P,0,0,0,0,0,0
RNU6-1184P,0,0,0,0,0,0
RNU6-1185P,0,0,0,0,0,0
RNU6-1186P,0,0,0,0,0,0
RNU6-1187P,0,0,0,0,0,0
RNU6-1188P,0,0,0,0,0,0
RNU6-1189P,0,0,0,1,0,0
RNU6-118P,0,0,0,0,0,0
RNU6-1190P,0,0,0,0,0,0
RNU6-1191P,0,0,0,0,0,0
RNU6-1193P,0,0,0,0,0,0
RNU6-1194P,0,0,0,0,0,0
RNU6-1195P,0,0,0,0,0,0
RNU6-1196P,0,0,0,0,0,0
RNU6-1197P,0,0,0,0,0,0
RNU6-1198P,0,0,0,0,0,0
RNU6-1199P,0,0,0,0,0,0
RNU6-119P,0,0,0,0,0,0
RNU6-11P,0,0,0,0,0,0
RNU6-1200P,0,0,0,0,0,0
RNU6-1201P,0,0,0,0,0,0
RNU6-1203P,0,0,0,0,0,0
RNU6-1204P,0,0,0,0,0,0
RNU6-1205P,0,0,0,0,0,0
RNU6-1206P,0,0,0,0,0,0
RNU6-1207P,0,0,0,0,0,0
RNU6-1208P,0,0,0,0,0,0
RNU6-1209P,0,0,0,0,0,0
RNU6-120P,0,0,0,0,0,0
RNU6-1210P,0,0,0,0,0,0
RNU6-1211P,0,0,0,0,0,0
RNU6-1212P,0,0,0,0,0,0
RNU6-1213P,0,0,0,0,0,0
RNU6-1214P,0,0,0,0,0,0
RNU6-1215P,0,0,0,0,0,0
RNU6-1216P,0,0,0,0,0,0
RNU6-1217P,0,0,0,0,0,0
RNU6-1218P,0,0,0,0,0,0
RNU6-1219P,0,0,0,0,0,0
RNU6-121P,0,0,0,0,0,0
RNU6-1220P,0,0,0,0,0,0
RNU6-1221P,0,0,0,0,0,0
RNU6-1222P,0,0,0,0,0,0
RNU6-1223P,0,1,0,1,0,0
RNU6-1224P,0,0,0,0,0,0
RNU6-1225P,0,0,0,0,0,0
RNU6-1226P,0,0,0,0,0,0
RNU6-1227P,0,0,0,0,0,0
RNU6-1228P,0,0,0,0,0,0
RNU6-1229P,0,0,0,0,0,0
RNU6-122P,0,0,0,0,0,0
RNU6-1230P,0,0,0,0,0,0
RNU6-1231P,0,0,0,0,0,0
RNU6-1232P,0,0,0,0,0,0
RNU6-1233P,0,0,0,0,0,0
RNU6-1234P,0,0,0,0,0,0
RNU6-1235P,0,0,0,0,0,0
RNU6-1236P,0,0,0,0,0,0
RNU6-1237P,0,0,0,0,0,0
RNU6-1238P,0,0,0,0,0,0
RNU6-1239P,0,0,0,0,0,0
RNU6-123P,0,0,0,0,0,0
RNU6-1240P,0,0,0,0,0,0
RNU6-1241P,0,0,0,0,0,0
RNU6-1242P,0,0,0,0,0,0
RNU6-1243P,0,0,0,0,0,0
RNU6-1244P,0,0,0,0,0,0
RNU6-1245P,0,0,0,1,0,0
RNU6-1246P,0,0,0,0,0,0
RNU6-1247P,0,0,0,0,0,0
RNU6-1248P,0,0,0,0,0,0
RNU6-1249P,0,0,0,0,0,153
RNU6-124P,0,0,0,0,0,0
RNU6-1250P,0,0,0,0,0,0
RNU6-1251P,0,0,0,0,0,1
RNU6-1252P,0,0,0,0,0,0
RNU6-1254P,0,0,0,0,0,0
RNU6-1255P,0,0,0,0,0,0
RNU6-1256P,0,0,0,0,0,0
RNU6-1257P,0,0,0,0,0,0
RNU6-1258P,0,0,0,0,0,0
RNU6-125P,0,0,0,1,0,31
RNU6-1260P,0,0,0,0,0,0
RNU6-1261P,0,0,0,0,0,0
RNU6-1262P,0,0,0,0,0,0
RNU6-1263P,0,0,0,0,0,0
RNU6-1264P,0,0,0,0,0,0
RNU6-1265P,0,0,0,0,0,0
RNU6-1266P,0,0,0,0,0,0
RNU6-1267P,0,0,0,0,0,0
RNU6-1268P,0,0,0,0,0,0
RNU6-1269P,0,0,0,0,0,0
RNU6-126P,0,0,0,0,0,0
RNU6-1270P,0,0,0,0,0,0
RNU6-1271P,0,0,0,0,0,0
RNU6-1272P,0,0,0,0,0,0
RNU6-1273P,0,0,0,0,0,0
RNU6-1274P,0,0,0,0,0,0
RNU6-1275P,0,0,0,0,0,0
RNU6-1276P,0,0,0,0,0,0
RNU6-1277P,0,0,0,0,0,0
RNU6-1278P,0,0,0,0,0,0
RNU6-1279P,0,0,0,0,0,0
RNU6-127P,0,0,0,0,0,0
RNU6-1280P,0,0,0,0,0,0
RNU6-1281P,0,0,0,0,0,0
RNU6-1282P,0,0,0,0,0,0
RNU6-1283P,0,0,0,0,0,0
RNU6-1284P,0,0,0,0,0,0
RNU6-1285P,0,0,0,0,0,0
RNU6-1286P,0,0,0,0,0,0
RNU6-1287P,0,0,0,0,0,0
RNU6-1288P,0,0,0,0,0,0
RNU6-1289P,0,0,0,1,0,0
RNU6-128P,0,0,0,0,0,0
RNU6-1290P,0,0,0,0,0,0
RNU6-1291P,0,0,0,0,0,0
RNU6-1292P,0,0,0,0,0,0
RNU6-1293P,0,0,0,0,0,0
RNU6-1294P,0,0,0,1,0,0
RNU6-1295P,0,0,0,0,0,0
RNU6-1296P,0,0,0,0,0,0
RNU6-1297P,0,0,0,0,0,0
RNU6-1298P,0,0,0,0,0,0
RNU6-1299P,0,0,0,0,0,0
RNU6-129P,0,0,0,0,0,0
RNU6-12P,0,0,0,0,0,0
RNU6-1300P,0,0,0,0,0,0
RNU6-1301P,0,0,0,0,0,0
RNU6-1303P,0,0,0,0,0,0
RNU6-1304P,0,0,0,0,0,0
RNU6-1305P,0,0,0,0,0,0
RNU6-1306P,0,0,0,0,0,0
RNU6-1307P,0,0,0,0,0,0
RNU6-1308P,0,0,0,0,0,0
RNU6-1309P,0,0,0,0,0,0
RNU6-130P,0,0,0,0,0,0
RNU6-1310P,0,0,0,0,0,0
RNU6-1311P,0,0,0,0,0,0
RNU6-1312P,0,0,0,0,0,0
RNU6-1313P,0,0,0,0,0,0
RNU6-1314P,0,0,0,0,0,0
RNU6-1315P,0,0,0,0,0,0
RNU6-1316P,0,0,0,0,0,0
RNU6-1317P,0,0,0,0,0,0
RNU6-1318P,0,0,0,0,0,0
RNU6-1319P,0,0,0,0,0,0
RNU6-131P,0,0,0,0,0,0
RNU6-1320P,0,0,0,0,0,0
RNU6-1321P,0,0,0,0,0,0
RNU6-1322P,0,0,0,0,0,0
RNU6-1323P,0,0,0,0,0,11
RNU6-1324P,0,0,0,0,0,0
RNU6-1325P,0,0,0,0,0,0
RNU6-1326P,0,0,0,0,0,0
RNU6-1327P,0,0,0,0,0,0
RNU6-1328P,0,0,0,0,0,0
RNU6-1329P,0,0,0,0,0,0
RNU6-132P,0,0,0,0,0,0
RNU6-1330P,0,0,0,0,0,0
RNU6-1331P,0,0,0,0,0,0
RNU6-1332P,0,0,0,0,0,0
RNU6-1333P,0,0,0,0,0,0
RNU6-1334P,0,0,0,0,0,0
RNU6-1335P,0,0,0,0,0,0
RNU6-1336P,0,0,0,0,0,0
RNU6-1337P,0,0,0,0,0,0
RNU6-1338P,0,0,0,0,0,0
RNU6-1339P,0,0,0,0,0,0
RNU6-133P,0,0,0,0,0,0
RNU6-1340P,0,0,0,0,0,0
RNU6-134P,0,0,0,0,0,0
RNU6-135P,0,0,0,0,0,0
RNU6-136P,0,0,0,0,0,0
RNU6-137P,0,1,0,0,0,0
RNU6-138P,0,0,0,0,0,0
RNU6-139P,0,0,0,0,0,0
RNU6-13P,0,0,0,0,0,0
RNU6-140P,0,7,0,8,0,1
RNU6-141P,0,0,0,0,0,0
RNU6-142P,0,0,0,0,0,0
RNU6-143P,0,0,0,0,0,0
RNU6-144P,0,0,0,0,0,0
RNU6-145P,0,0,0,0,0,0
RNU6-146P,0,0,0,0,0,0
RNU6-147P,0,0,0,0,0,0
RNU6-148P,0,0,0,0,0,0
RNU6-14P,0,0,0,0,0,0
RNU6-150P,0,0,0,0,0,0
RNU6-151P,0,0,0,0,0,0
RNU6-152P,0,0,0,0,0,0
RNU6-153P,0,0,0,0,0,0
RNU6-154P,0,0,0,0,0,0
RNU6-155P,0,0,0,0,0,0
RNU6-157P,0,0,0,0,0,0
RNU6-158P,0,0,0,0,0,0
RNU6-159P,0,0,0,0,0,0
RNU6-15P,0,0,0,0,0,1
RNU6-160P,0,0,0,0,0,0
RNU6-161P,0,0,0,0,0,0
RNU6-162P,0,0,0,0,0,0
RNU6-163P,0,0,0,0,0,0
RNU6-164P,0,0,0,0,0,0
RNU6-165P,0,0,0,0,0,0
RNU6-166P,0,0,0,0,0,0
RNU6-167P,0,0,0,0,0,0
RNU6-168P,0,0,0,0,0,0
RNU6-169P,0,0,0,0,0,0
RNU6-16P,0,0,0,0,0,16
